2025-08-17 13:21:17 INFO: (log.py): Logging setup complete.

2025-08-17 13:21:25 INFO: (control_logic.py): Robot moved up 14cm.

2025-08-17 13:21:26 INFO: (control_logic.py): Robot added to Isaac Sim scene.

2025-08-17 13:21:26 INFO: (camera.py): Successfully killed existing camera processes.

2025-08-17 13:21:27 INFO: (camera.py) Computed aperture size for isaac camera.

2025-08-17 13:21:27 INFO: (camera.py) Computed focal length for isaac camera.

2025-08-17 13:21:27 INFO: (camera.py) Applied optics to isaac camera.

2025-08-17 13:21:27 INFO: (camera.py) Initialized isaac camera.

2025-08-17 13:21:27 INFO: (control_logic.py): RL command queue initialized successfully for Isaac Sim.

2025-08-17 13:21:31 WARNING: 🆕 No saved models found, starting fresh training.

2025-08-17 13:21:31 INFO: Training system initialized:
2025-08-17 13:21:31 INFO:   - State dimension: 21
2025-08-17 13:21:31 INFO:   - Action dimension: 24
2025-08-17 13:21:31 INFO:   - Models directory: /home/matthewthomasbeck/Projects/Robot_Dog/model
2025-08-17 13:21:31 INFO:   - TD3 policy created: True
2025-08-17 13:21:31 INFO:   - Replay buffer created: True
2025-08-17 13:21:31 INFO:   - Starting from episode: 0
2025-08-17 13:21:31 INFO:   - Starting from step: 0

2025-08-17 13:21:31 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:32 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:32 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:32 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:32 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:32 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:33 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:33 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:33 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:33 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:33 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:34 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:34 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:34 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:34 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:34 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:35 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:35 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:35 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:35 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:36 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:36 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:36 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:36 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:36 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:37 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:37 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:37 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:37 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:37 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:38 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:38 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:38 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:38 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:38 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:39 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
